trials.thisTrialN,trials.stepSize,trials.intensity,correctAns,ori,polygon.started,polygon.stopped,polygon_2.started,polygon_2.stopped,grating.started,grating.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
28,0.1,0.012589254117941673,up,280,40.72603949997574,None,40.72603949997574,None,40.72603949997574,40.809502899996005,1,1.0107498000143096,40.39241430000402,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
29,0.1,0.012589254117941673,up,280,41.76025299995672,None,41.76025299995672,None,41.76025299995672,41.843572000041604,0,1.0008661999600008,41.4265929000685,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
30,0.1,0.015848931924611138,down,260,42.77773510001134,None,42.77773510001134,None,42.77773510001134,42.86118030000944,0,1.1992043999489397,42.44412939995527,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
31,0.1,0.019952623149688802,up,280,43.99546260002535,None,43.99546260002535,None,43.99546260002535,44.07886480004527,0,1.5181969000259414,43.66175560001284,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
32,0.1,0.02511886431509581,down,260,45.54681440000422,None,45.54681440000422,None,45.54681440000422,45.63011410005856,1,1.0221390998922288,45.21310589998029,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
33,0.1,0.02511886431509581,up,280,46.597557200002484,None,46.597557200002484,None,46.597557200002484,46.68101289996412,0,1.5235880999825895,46.264059599954635,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
34,0.1,0.031622776601683805,down,260,48.14897590002511,None,48.14897590002511,None,48.14897590002511,48.23225870006718,0,1.779357000021264,47.81529810000211,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
35,0.1,0.03981071705534974,down,260,49.95038190006744,None,49.95038190006744,None,49.95038190006744,50.03383880003821,1,1.1299888999201357,49.61672709998675,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
36,0.1,0.03981071705534974,down,260,51.10136129998136,None,51.10136129998136,None,51.10136129998136,51.18478779995348,1,1.1948938999557868,50.767789100063965,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
37,0.1,0.031622776601683805,up,280,52.31911200005561,None,52.31911200005561,None,52.31911200005561,52.40242609998677,1,0.9858224000781775,51.98537030001171,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
38,0.1,0.031622776601683805,down,260,53.33651020005345,None,53.33651020005345,None,53.33651020005345,53.41994870000053,1,1.5517535000108182,53.00298890005797,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
39,0.1,0.025118864315095808,up,280,54.92121259996202,None,54.92121259996202,None,54.92121259996202,55.0046461999882,1,1.1513431000057608,54.5875455000205,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
40,0.1,0.025118864315095808,up,280,56.105533899972215,None,56.105533899972215,None,56.105533899972215,56.18891699996311,1,0.9274054999696091,55.77191230002791,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
41,0.1,0.019952623149688802,down,260,57.05635289999191,None,57.05635289999191,None,57.05635289999191,57.139777600066736,1,0.9360654000192881,56.72274830006063,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
42,0.1,0.019952623149688802,up,280,58.023883200017735,None,58.023883200017735,None,58.023883200017735,58.10717500001192,1,1.5207758001051843,57.690113299991935,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
43,0.1,0.015848931924611138,up,280,59.57509209995624,None,59.57509209995624,None,59.57509209995624,59.65846299997065,1,0.9452995000174269,59.241405999986455,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
44,0.1,0.015848931924611138,down,260,60.542649399954826,None,60.542649399954826,None,60.542649399954826,60.62602460000198,1,0.9228238000068814,60.20927069999743,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
45,0.1,0.012589254117941673,up,280,61.49334549997002,None,61.49334549997002,None,61.49334549997002,61.576815900043584,0,0.9476249000290409,61.15978950005956,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
46,0.1,0.015848931924611138,up,280,62.46089350001421,None,62.46089350001421,None,62.46089350001421,62.54423300002236,1,1.067365099908784,62.127197099966,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
47,0.1,0.015848931924611138,up,280,63.54506799997762,None,63.54506799997762,None,63.54506799997762,63.62843569996767,1,0.9277854000683874,63.21144340001047,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
48,0.1,0.012589254117941673,down,260,64.49594150006305,None,64.49594150006305,None,64.49594150006305,64.57922960002907,1,0.9533276000292972,64.1621989000123,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
49,0.1,0.012589254117941673,up,280,65.48004769999534,None,65.48004769999534,None,65.48004769999534,65.56337900005747,1,0.8972578999819234,65.14637590001803,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
50,0.1,0.01,up,280,66.39754819998052,None,66.39754819998052,None,66.39754819998052,66.48088050005026,0,0.9392249999800697,66.06383310002275,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
51,0.1,0.012589254117941673,up,280,67.36499060003553,None,67.36499060003553,None,67.36499060003553,67.44828240002971,1,0.7713224000763148,67.03133729996625,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
52,0.1,0.012589254117941673,down,260,68.16565530002117,None,68.16565530002117,None,68.16565530002117,68.24903549998999,0,0.818596100085415,67.83196119999047,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
53,0.1,0.015848931924611138,up,280,69.01630510005634,None,69.01630510005634,None,69.01630510005634,69.0998668000102,0,0.8325913000153378,68.68263980001211,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
54,0.1,0.019952623149688802,down,260,69.86707050004043,None,69.86707050004043,None,69.86707050004043,69.95039030001499,1,1.2139512000139803,69.53338210005313,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
55,0.1,0.019952623149688802,up,280,71.10133850004058,None,71.10133850004058,None,71.10133850004058,71.1847913999809,1,0.9710600000107661,70.76781550003216,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
56,0.1,0.015848931924611138,down,260,72.1022012999747,None,72.1022012999747,None,72.1022012999747,72.1855421999935,1,0.9142685000551865,71.76862820005044,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
57,0.1,0.015848931924611138,up,280,73.03628340002615,None,73.03628340002615,None,73.03628340002615,73.11973589996342,1,0.8925872999243438,72.70275239995681,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
58,0.1,0.012589254117941673,down,260,73.95380220003426,None,73.95380220003426,None,73.95380220003426,74.03713169996627,0,1.1270675000268966,73.62010850000661,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
59,0.1,0.015848931924611138,down,260,75.10478289995808,None,75.10478289995808,None,75.10478289995808,75.18811420002021,1,0.9361764999339357,74.77106329996604,None,,001,2023-06-30_11h24.06.373,orientation_discrimination,2022.1.4,59.96426130735908,
